GENDER,AGE,MARITAL_STATUS,PROFESSION
M,34,Married,Professional
M,34,Married,Professional
F,25,Single,Sales
F,25,Single,Sales
F,25,Single,Sales
M,21,Single,Other
M,21,Single,Other
F,26,Single,Retail
F,26,Single,Retail
M,39,Married,Student
M,39,Married,Student
M,39,Married,Student
M,39,Married,Student
M,39,Married,Student
M,19,Single,Professional
M,19,Single,Professional
M,19,Single,Professional
F,47,Married,Executive
F,47,Married,Executive
F,47,Married,Executive
F,47,Married,Executive
M,26,Single,Professional
M,26,Single,Professional
M,26,Single,Professional
M,42,Married,Professional
M,42,Married,Professional
M,42,Married,Professional
M,42,Married,Professional
M,42,Married,Professional
M,42,Married,Professional
M,42,Single,Sales
M,42,Single,Sales
M,42,Single,Sales
M,42,Single,Sales
F,32,Married,Retail
F,32,Married,Retail
F,32,Married,Retail
F,69,Married,Other
F,69,Married,Other
M,44,Married,Other
M,44,Married,Other
M,44,Married,Other
F,36,Married,Professional
F,36,Married,Professional
F,36,Married,Professional
F,43,Married,Other
F,43,Married,Other
F,43,Married,Other
M,28,Single,Other
M,28,Single,Other
M,32,Single,Professional
M,32,Single,Professional
M,32,Single,Professional
M,32,Single,Professional
M,31,Single,Other
M,31,Single,Other
M,28,Single,Other
M,28,Single,Other
M,28,Single,Other
M,32,Single,Student
M,32,Single,Student
F,28,Married,Professional
F,28,Married,Professional
F,28,Married,Professional
F,28,Married,Professional
F,53,Married,Other
F,53,Married,Other
M,22,Single,Other
M,22,Single,Other
M,28,Single,Trades
M,28,Single,Trades
M,28,Single,Trades
M,28,Single,Trades
M,21,Single,Student
M,21,Single,Student
F,29,Single,Professional
F,29,Single,Professional
M,19,Single,Student
M,19,Single,Student
M,50,Unspecified,Other
M,50,Unspecified,Other
M,50,Unspecified,Other
M,26,Unspecified,Other
M,26,Unspecified,Other
M,59,Married,Other
M,59,Married,Other
M,59,Married,Other
M,59,Married,Other
F,37,Married,Sales
F,37,Married,Sales
M,33,Married,Executive
M,33,Married,Executive
M,33,Married,Executive
M,27,Single,Other
M,27,Single,Other
M,27,Single,Other
F,43,Married,Executive
F,43,Married,Executive
F,44,Married,Other
F,44,Married,Other
F,44,Married,Other
F,44,Married,Other
M,44,Married,Executive
M,44,Married,Executive
M,37,Single,Sales
M,37,Single,Sales
M,37,Single,Sales
M,37,Single,Sales
M,37,Single,Sales
M,37,Single,Sales
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
F,41,Married,Other
F,41,Married,Other
F,41,Married,Other
F,41,Married,Other
F,47,Married,Executive
F,47,Married,Executive
M,30,Single,Trades
M,30,Single,Trades
M,30,Single,Trades
M,30,Single,Trades
M,30,Single,Trades
F,31,Single,Professional
F,31,Single,Professional
M,34,Married,Executive
M,34,Married,Executive
M,34,Married,Executive
M,34,Married,Executive
F,21,Single,Other
F,21,Single,Other
F,21,Single,Other
F,21,Single,Other
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
F,46,Unspecified,Hospitality
F,46,Unspecified,Hospitality
F,46,Unspecified,Hospitality
M,30,Married,Sales
M,30,Married,Sales
M,30,Married,Sales
M,30,Married,Sales
F,39,Married,Executive
F,39,Married,Executive
M,26,Married,Professional
M,26,Married,Professional
M,24,Single,Student
M,24,Single,Student
F,44,Married,Other
F,44,Married,Other
F,44,Married,Other
F,20,Married,Retail
F,20,Married,Retail
F,20,Married,Retail
F,33,Married,Other
F,33,Married,Other
F,33,Married,Other
F,40,Married,Executive
F,40,Married,Executive
F,40,Married,Executive
M,43,Married,Other
M,43,Married,Other
M,43,Married,Other
F,32,Single,Professional
F,32,Single,Professional
F,39,Married,Executive
F,39,Married,Executive
F,39,Single,Other
F,39,Single,Other
F,26,Single,Other
F,26,Single,Other
M,22,Single,Trades
M,22,Single,Trades
M,22,Single,Trades
F,33,Married,Professional
F,33,Married,Professional
F,33,Married,Professional
F,33,Married,Professional
F,33,Married,Professional
F,29,Single,Professional
F,29,Single,Professional
F,29,Single,Professional
F,48,Married,Executive
F,48,Married,Executive
F,35,Married,Other
F,35,Married,Other
M,58,Married,Professional
M,58,Married,Professional
M,58,Married,Professional
M,58,Married,Professional
M,58,Married,Professional
M,27,Single,Other
M,27,Single,Other
M,27,Single,Other
M,30,Married,Other
M,30,Married,Other
F,37,Married,Other
F,37,Married,Other
F,37,Married,Other
M,38,Married,Sales
M,38,Married,Sales
M,23,Single,Student
M,23,Single,Student
M,23,Single,Student
M,23,Single,Student
F,29,Single,Other
F,29,Single,Other
F,29,Single,Other
F,29,Single,Other
F,29,Single,Other
M,48,Unspecified,Trades
M,48,Unspecified,Trades
F,19,Single,Student
F,19,Single,Student
F,27,Single,Other
F,27,Single,Other
M,27,Single,Student
M,27,Single,Student
F,64,Married,Retired
F,64,Married,Retired
F,64,Married,Retired
M,21,Single,Student
M,21,Single,Student
M,21,Single,Student
M,21,Single,Student
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
F,41,Married,Other
F,41,Married,Other
F,41,Married,Other
M,26,Married,Other
M,26,Married,Other
M,26,Married,Other
M,32,Married,Other
M,32,Married,Other
F,66,Married,Retired
F,66,Married,Retired
F,21,Single,Retail
F,21,Single,Retail
M,57,Unspecified,Other
M,57,Unspecified,Other
M,57,Unspecified,Other
M,57,Unspecified,Other
M,57,Unspecified,Other
M,57,Unspecified,Other
M,57,Unspecified,Other
F,45,Married,Executive
F,45,Married,Executive
F,45,Married,Executive
M,25,Single,Professional
M,25,Single,Professional
F,33,Single,Other
F,33,Single,Other
M,35,Married,Other
M,35,Married,Other
F,47,Unspecified,Hospitality
F,47,Unspecified,Hospitality
M,42,Married,Sales
M,42,Married,Sales
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
F,41,Married,Other
F,41,Married,Other
F,25,Single,Retail
F,25,Single,Retail
F,31,Married,Professional
F,31,Married,Professional
F,35,Married,Other
F,35,Married,Other
F,35,Married,Other
F,35,Married,Other
M,33,Single,Other
M,33,Single,Other
M,33,Single,Other
M,33,Single,Other
M,33,Single,Other
M,33,Single,Other
M,33,Single,Other
M,32,Married,Other
M,32,Married,Other
F,41,Married,Executive
F,41,Married,Executive
M,40,Married,Trades
M,40,Married,Trades
M,40,Married,Trades
F,69,Married,Other
F,69,Married,Other
F,69,Married,Other
F,25,Single,Other
F,25,Single,Other
F,49,Married,Other
F,49,Married,Other
F,49,Married,Other
M,30,Single,Other
M,30,Single,Other
F,20,Single,Retail
F,20,Single,Retail
F,56,Married,Other
F,56,Married,Other
M,24,Single,Professional
M,24,Single,Professional
M,24,Single,Professional
M,24,Single,Professional
F,23,Single,Other
F,23,Single,Other
F,23,Single,Other
F,23,Single,Other
M,29,Single,Trades
M,29,Single,Trades
F,27,Single,Student
F,27,Single,Student
M,31,Married,Sales
M,31,Married,Sales
F,29,Single,Other
F,29,Single,Other
F,23,Single,Other
F,23,Single,Other
F,23,Single,Other
M,49,Married,Retired
M,49,Married,Retired
M,49,Married,Retired
M,49,Married,Retired
M,59,Unspecified,Other
M,59,Unspecified,Other
M,59,Unspecified,Other
M,59,Unspecified,Other
M,59,Unspecified,Other
M,44,Married,Trades
M,44,Married,Trades
F,38,Unspecified,Other
F,38,Unspecified,Other
F,38,Unspecified,Other
M,41,Married,Other
M,41,Married,Other
F,60,Married,Retired
F,60,Married,Retired
F,60,Married,Retired
F,45,Married,Other
F,45,Married,Other
F,45,Married,Other
F,45,Married,Other
M,32,Married,Sales
M,32,Married,Sales
M,32,Married,Sales
F,31,Married,Other
F,31,Married,Other
F,31,Married,Other
F,31,Married,Other
M,29,Single,Sales
M,29,Single,Sales
M,29,Single,Sales
F,32,Single,Professional
F,32,Single,Professional
F,32,Single,Professional
F,44,Married,Executive
F,44,Married,Executive
M,39,Married,Sales
M,39,Married,Sales
M,39,Married,Sales
F,36,Single,Professional
F,36,Single,Professional
F,49,Married,Other
F,49,Married,Other
F,67,Unspecified,Hospitality
F,67,Unspecified,Hospitality
F,25,Single,Professional
F,25,Single,Professional
F,58,Married,Other
F,58,Married,Other
F,37,Married,Executive
F,37,Married,Executive
F,37,Married,Executive
F,37,Married,Executive
F,37,Married,Executive
F,44,Married,Sales
F,44,Married,Sales
F,26,Single,Professional
F,26,Single,Professional
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
F,42,Married,Executive
F,42,Married,Executive
M,45,Married,Trades
M,45,Married,Trades
F,39,Married,Other
F,39,Married,Other
F,39,Married,Other
F,39,Married,Other
F,39,Married,Other
M,23,Single,Trades
M,23,Single,Trades
M,20,Single,Student
M,20,Single,Student
F,20,Single,Retail
F,20,Single,Retail
F,40,Married,Other
F,40,Married,Other
F,40,Married,Other
M,44,Married,Trades
M,44,Married,Trades
M,44,Married,Trades
M,44,Married,Trades
M,44,Married,Trades
F,39,Unspecified,Other
F,39,Unspecified,Other
F,39,Unspecified,Other
F,30,Single,Professional
F,30,Single,Professional
F,30,Single,Professional
F,24,Single,Other
F,24,Single,Other
F,24,Single,Other
F,24,Single,Other
F,38,Married,Other
F,38,Married,Other
F,38,Married,Other
M,30,Married,Executive
M,30,Married,Executive
M,30,Married,Executive
F,38,Married,Other
F,38,Married,Other
M,39,Married,Other
M,39,Married,Other
M,39,Married,Executive
M,39,Married,Executive
F,68,Unspecified,Hospitality
F,68,Unspecified,Hospitality
F,68,Unspecified,Hospitality
M,21,Single,Professional
M,21,Single,Professional
M,21,Single,Professional
M,28,Single,Professional
M,28,Single,Professional
M,28,Single,Professional
M,28,Single,Professional
M,28,Single,Sales
M,28,Single,Sales
M,28,Single,Sales
F,31,Married,Hospitality
F,31,Married,Hospitality
F,38,Single,Professional
F,38,Single,Professional
M,44,Married,Sales
M,44,Married,Sales
M,44,Married,Sales
M,35,Married,Sales
M,35,Married,Sales
M,35,Married,Sales
F,21,Unspecified,Other
F,21,Unspecified,Other
F,21,Unspecified,Other
F,22,Single,Student
F,22,Single,Student
F,22,Single,Student
F,21,Single,Professional
F,21,Single,Professional
M,41,Unspecified,Other
M,41,Unspecified,Other
M,41,Unspecified,Other
M,41,Unspecified,Other
M,41,Unspecified,Other
M,41,Unspecified,Other
M,28,Single,Trades
M,28,Single,Trades
F,36,Married,Other
F,36,Married,Other
F,36,Married,Other
F,37,Unspecified,Hospitality
F,37,Unspecified,Hospitality
F,37,Unspecified,Hospitality
F,37,Unspecified,Hospitality
F,22,Single,Retail
F,22,Single,Retail
M,34,Married,Executive
M,34,Married,Executive
M,34,Married,Executive
F,38,Single,Retail
F,38,Single,Retail
F,19,Single,Other
F,19,Single,Other
F,40,Unspecified,Hospitality
F,40,Unspecified,Hospitality
F,40,Unspecified,Hospitality
M,40,Single,Other
M,40,Single,Other
M,40,Single,Other
M,40,Single,Other
F,23,Single,Student
F,23,Single,Student
F,23,Single,Student
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
F,47,Married,Retail
F,47,Married,Retail
M,49,Married,Professional
M,49,Married,Professional
M,49,Married,Professional
M,49,Married,Professional
M,49,Married,Professional
M,49,Married,Professional
M,39,Married,Sales
M,39,Married,Sales
M,39,Married,Sales
M,39,Married,Sales
M,20,Single,Student
M,20,Single,Student
M,20,Single,Student
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
F,27,Single,Other
F,27,Single,Other
M,29,Single,Professional
M,29,Single,Professional
M,29,Single,Professional
F,29,Married,Professional
F,29,Married,Professional
F,29,Married,Professional
F,29,Married,Professional
M,21,Unspecified,Other
M,21,Unspecified,Other
M,21,Unspecified,Other
M,21,Unspecified,Other
M,36,Married,Other
M,36,Married,Other
M,36,Married,Other
M,39,Married,Other
M,39,Married,Other
F,45,Married,Hospitality
F,45,Married,Hospitality
F,26,Single,Other
F,26,Single,Other
F,22,Single,Retail
F,22,Single,Retail
F,26,Single,Other
F,26,Single,Other
M,21,Single,Student
M,21,Single,Student
M,21,Single,Student
F,23,Single,Professional
F,23,Single,Professional
M,22,Single,Trades
M,22,Single,Trades
M,22,Single,Trades
M,22,Single,Trades
M,35,Married,Other
M,35,Married,Other
M,35,Married,Other
F,50,Unspecified,Hospitality
F,50,Unspecified,Hospitality
M,21,Single,Other
M,21,Single,Other
M,21,Single,Other
M,21,Single,Other
M,29,Married,Sales
M,29,Married,Sales
M,29,Married,Sales
M,29,Married,Sales
M,29,Married,Sales
F,25,Single,Other
F,25,Single,Other
F,37,Married,Executive
F,37,Married,Executive
F,28,Married,Other
F,28,Married,Other
F,28,Married,Other
F,28,Married,Other
M,29,Married,Sales
M,29,Married,Sales
M,29,Married,Sales
M,46,Married,Professional
M,46,Married,Professional
F,35,Married,Professional
F,35,Married,Professional
F,35,Married,Professional
M,37,Married,Sales
M,37,Married,Sales
M,37,Married,Sales
F,21,Single,Sales
F,21,Single,Sales
F,42,Married,Professional
F,42,Married,Professional
F,37,Single,Professional
F,37,Single,Professional
M,31,Married,Sales
M,31,Married,Sales
M,31,Married,Sales
F,53,Married,Other
F,53,Married,Other
F,53,Married,Other
F,53,Married,Other
M,20,Single,Professional
M,20,Single,Professional
M,20,Single,Professional
M,39,Single,Other
M,39,Single,Other
F,59,Married,Retired
F,59,Married,Retired
M,37,Married,Trades
M,37,Married,Trades
F,26,Single,Other
F,26,Single,Other
F,27,Single,Professional
F,27,Single,Professional
F,28,Single,Student
F,28,Single,Student
M,31,Married,Trades
M,31,Married,Trades
M,31,Married,Trades
M,31,Married,Trades
M,31,Married,Trades
M,31,Married,Trades
F,36,Married,Other
F,36,Married,Other
M,32,Single,Professional
M,32,Single,Professional
F,32,Married,Other
F,32,Married,Other
F,32,Married,Other
F,18,Single,Other
F,18,Single,Other
F,37,Single,Other
F,37,Single,Other
F,34,Unspecified,Sales
F,34,Unspecified,Sales
F,36,Single,Retail
F,36,Single,Retail
M,17,Single,Student
M,17,Single,Student
F,49,Married,Professional
F,49,Married,Professional
M,20,Single,Professional
M,20,Single,Professional
M,20,Single,Professional
F,32,Married,Other
F,32,Married,Other
F,32,Married,Other
F,32,Married,Other
F,32,Married,Other
F,31,Single,Professional
F,31,Single,Professional
M,49,Married,Other
M,49,Married,Other
M,49,Married,Other
M,49,Married,Other
M,35,Married,Trades
M,35,Married,Trades
M,21,Single,Trades
M,21,Single,Trades
M,31,Married,Sales
M,31,Married,Sales
M,26,Single,Other
M,26,Single,Other
F,45,Married,Retail
F,25,Single,Other
F,25,Single,Other
F,47,Married,Other
M,28,Single,Other
M,28,Single,Other
M,28,Single,Other
M,41,Single,Sales
F,46,Married,Hospitality
M,23,Single,Sales
M,23,Single,Sales
M,23,Single,Sales
M,23,Single,Sales
F,37,Married,Other
M,42,Married,Other
F,20,Single,Professional
F,20,Single,Professional
M,26,Single,Other
M,26,Single,Other
M,26,Single,Other
M,26,Single,Other
M,26,Single,Other
M,28,Single,Other
M,28,Single,Other
M,28,Single,Other
M,28,Single,Other
M,23,Single,Other
M,23,Single,Other
F,29,Married,Other
F,29,Married,Other
M,39,Married,Trades
M,39,Married,Trades
M,39,Married,Trades
M,39,Married,Trades
M,43,Married,Trades
M,43,Married,Trades
M,43,Married,Trades
M,43,Married,Trades
M,43,Married,Trades
M,47,Married,Professional
M,47,Married,Professional
F,23,Single,Retail
F,23,Single,Retail
F,24,Single,Retail
F,24,Single,Retail
M,21,Unspecified,Other
M,21,Unspecified,Other
M,24,Single,Sales
M,24,Single,Sales
M,24,Single,Sales
M,24,Single,Sales
F,37,Unspecified,Other
F,37,Unspecified,Other
F,37,Unspecified,Other
F,37,Unspecified,Other
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
M,41,Married,Other
M,31,Married,Trades
M,31,Married,Trades
M,31,Married,Trades
F,27,Single,Student
F,27,Single,Student
M,41,Married,Executive
M,41,Married,Executive
F,24,Single,Retail
F,24,Single,Retail
F,28,Married,Executive
F,28,Married,Executive
F,45,Married,Retired
F,45,Married,Retired
F,24,Married,Other
F,24,Married,Other
F,24,Married,Other
F,24,Married,Other
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
F,21,Unspecified,Other
F,21,Unspecified,Other
F,21,Unspecified,Other
F,21,Unspecified,Other
F,21,Unspecified,Other
F,21,Unspecified,Other
M,43,Single,Professional
M,43,Single,Professional
M,43,Single,Professional
M,43,Single,Professional
M,43,Single,Professional
M,24,Single,Trades
M,24,Single,Trades
M,24,Single,Trades
M,25,Married,Other
M,25,Married,Other
M,25,Married,Other
M,46,Married,Other
M,46,Married,Other
F,51,Married,Other
F,51,Married,Other
F,32,Unspecified,Professional
F,32,Unspecified,Professional
F,32,Unspecified,Professional
F,32,Unspecified,Professional
F,32,Unspecified,Professional
F,18,Single,Student
F,18,Single,Student
F,28,Single,Other
F,28,Single,Other
F,20,Single,Student
F,20,Single,Student
F,46,Married,Executive
F,46,Married,Executive
F,46,Married,Executive
M,41,Married,Sales
M,41,Married,Sales
F,38,Married,Retail
F,38,Married,Retail
F,38,Unspecified,Other
F,38,Unspecified,Other
F,38,Unspecified,Other
F,38,Unspecified,Other
F,38,Unspecified,Other
F,38,Unspecified,Other
M,44,Married,Professional
M,44,Married,Professional
M,44,Married,Professional
F,22,Single,Retail
F,22,Single,Retail
F,48,Married,Professional
F,48,Married,Professional
M,34,Married,Trades
M,34,Married,Trades
F,21,Single,Other
F,21,Single,Other
F,20,Single,Professional
F,20,Single,Professional
F,20,Single,Professional
F,28,Single,Professional
F,28,Single,Professional
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
F,32,Married,Other
F,32,Married,Other
F,32,Married,Other
M,44,Unspecified,Trades
M,44,Unspecified,Trades
F,44,Married,Other
F,44,Married,Other
F,44,Married,Other
F,44,Married,Other
M,31,Married,Professional
M,31,Married,Professional
M,31,Married,Professional
M,31,Married,Professional
F,25,Married,Other
F,25,Married,Other
F,25,Married,Other
F,25,Married,Other
F,27,Single,Retail
F,27,Single,Retail
M,33,Single,Other
M,33,Single,Other
M,33,Single,Other
M,33,Single,Other
M,24,Single,Other
M,24,Single,Other
M,24,Single,Other
M,27,Single,Trades
M,27,Single,Trades
M,27,Single,Trades
M,27,Single,Trades
F,40,Married,Executive
F,40,Married,Executive
F,40,Married,Executive
M,31,Married,Other
M,31,Married,Other
M,31,Married,Other
M,31,Married,Other
F,27,Single,Hospitality
F,27,Single,Hospitality
M,36,Single,Other
M,36,Single,Other
M,36,Single,Other
F,45,Married,Retired
F,45,Married,Retired
F,44,Married,Other
F,44,Married,Other
M,38,Single,Other
M,38,Single,Other
M,38,Single,Other
M,38,Single,Other
M,36,Married,Other
M,36,Married,Other
M,36,Married,Other
M,36,Married,Other
F,41,Married,Executive
F,41,Married,Executive
F,41,Married,Executive
F,41,Married,Executive
M,32,Single,Sales
M,32,Single,Sales
M,32,Single,Sales
M,32,Single,Sales
M,32,Single,Sales
M,40,Single,Professional
M,40,Single,Professional
M,40,Single,Professional
M,40,Single,Professional
M,23,Single,Student
M,23,Single,Student
M,23,Single,Student
F,48,Married,Other
F,48,Married,Other
F,48,Married,Other
F,48,Married,Other
F,48,Married,Other
F,48,Married,Other
F,51,Unspecified,Hospitality
F,51,Unspecified,Hospitality
M,23,Single,Student
M,23,Single,Student
F,28,Single,Student
F,28,Single,Student
F,28,Single,Student
F,28,Single,Student
F,43,Married,Other
F,43,Married,Other
M,25,Single,Trades
M,25,Single,Trades
M,25,Single,Trades
M,25,Single,Trades
F,30,Married,Hospitality
F,30,Married,Hospitality
F,30,Married,Hospitality
M,21,Single,Retail
M,21,Single,Retail
M,21,Single,Retail
M,21,Single,Retail
M,21,Single,Retail
F,42,Married,Other
F,42,Married,Other
F,42,Married,Other
F,42,Married,Other
M,23,Single,Student
M,23,Single,Student
M,23,Single,Student
M,23,Single,Student
M,19,Single,Sales
M,19,Single,Sales
M,19,Single,Sales
M,41,Married,Trades
M,41,Married,Trades
M,41,Married,Trades
M,42,Married,Other
M,42,Married,Other
M,42,Married,Other
M,20,Single,Other
M,20,Single,Other
M,20,Single,Other
M,20,Single,Other
M,44,Married,Other
M,44,Married,Other
M,44,Married,Sales
M,44,Married,Sales
M,34,Single,Trades
M,34,Single,Trades
M,34,Single,Trades
F,32,Single,Retail
F,32,Single,Retail
F,34,Single,Other
F,34,Single,Other
F,36,Married,Other
F,36,Married,Other
M,34,Single,Other
M,34,Single,Other
M,34,Single,Other
M,33,Married,Other
M,33,Married,Other
M,33,Married,Other
M,33,Married,Other
M,33,Married,Other
M,22,Single,Sales
M,22,Single,Sales
M,22,Single,Sales
M,22,Single,Sales
M,27,Single,Trades
M,27,Single,Trades
M,27,Single,Trades
M,27,Single,Professional
M,27,Single,Professional
M,32,Married,Other
M,32,Married,Other
M,32,Married,Other
M,32,Married,Other
M,32,Married,Other
F,29,Married,Professional
F,29,Married,Professional
F,29,Married,Professional
F,29,Married,Professional
F,28,Single,Other
M,39,Single,Sales
M,39,Single,Sales
M,39,Single,Sales
M,36,Single,Executive
M,36,Single,Executive
M,36,Single,Executive
M,36,Single,Executive
M,36,Single,Executive
M,37,Married,Executive
M,37,Married,Executive
F,35,Single,Professional
F,35,Single,Professional
M,28,Single,Sales
M,28,Single,Sales
M,28,Single,Sales
M,28,Single,Sales
F,49,Married,Other
F,49,Married,Other
F,49,Married,Other
F,22,Single,Other
F,22,Single,Other
F,28,Single,Sales
F,28,Single,Sales
F,28,Single,Sales
F,20,Single,Professional
F,20,Single,Professional
M,33,Married,Other
M,33,Married,Other
M,33,Married,Other
M,33,Married,Other
F,26,Married,Sales
F,26,Married,Sales
F,27,Single,Retail
F,27,Single,Retail
F,25,Married,Sales
F,25,Married,Sales
M,37,Married,Other
M,37,Married,Other
F,18,Single,Retail
F,18,Single,Retail
M,39,Single,Sales
M,39,Single,Sales
M,39,Single,Sales
M,39,Single,Sales
M,39,Single,Sales
M,39,Single,Sales
M,39,Single,Sales
M,34,Married,Other
M,34,Married,Other
M,34,Married,Other
F,39,Unspecified,Hospitality
F,39,Unspecified,Hospitality
F,39,Unspecified,Hospitality
F,39,Unspecified,Hospitality
F,39,Unspecified,Hospitality
F,37,Unspecified,Other
F,37,Unspecified,Other
F,37,Unspecified,Other
F,37,Unspecified,Other
F,37,Unspecified,Other
F,37,Unspecified,Other
F,31,Single,Other
F,31,Single,Other
M,19,Single,Student
M,19,Single,Student
M,19,Single,Student
M,19,Single,Student
M,31,Married,Other
M,31,Married,Other
M,45,Married,Professional
M,45,Married,Professional
F,29,Single,Other
F,29,Single,Other
F,21,Single,Other
F,21,Single,Other
F,21,Single,Other
F,48,Married,Other
F,48,Married,Other
F,20,Single,Retail
F,20,Single,Retail
M,30,Single,Trades
M,30,Single,Trades
M,30,Single,Trades
M,30,Single,Trades
F,51,Married,Executive
F,51,Married,Executive
M,44,Married,Other
M,44,Married,Other
M,44,Married,Other
M,44,Married,Other
M,44,Married,Other
F,59,Married,Retired
F,59,Married,Retired
M,43,Single,Professional
M,43,Single,Professional
M,43,Single,Professional
M,43,Single,Professional
M,33,Married,Other
M,33,Married,Other
M,33,Married,Other
F,35,Married,Executive
F,35,Married,Executive
F,35,Married,Executive
F,35,Married,Executive
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
M,54,Unspecified,Other
F,28,Single,Other
F,28,Single,Other
F,28,Single,Other
F,28,Single,Other
M,34,Married,Other
M,34,Married,Other
M,34,Married,Other
M,35,Single,Sales
M,35,Single,Sales
M,35,Single,Sales
M,35,Single,Sales
M,34,Married,Other
M,34,Married,Other
F,38,Unspecified,Hospitality
F,38,Unspecified,Hospitality
F,38,Unspecified,Hospitality
F,22,Married,Other
F,22,Married,Other
F,22,Married,Other
F,22,Married,Other
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
F,35,Married,Professional
F,35,Married,Professional
M,29,Single,Retail
M,29,Single,Retail
M,29,Single,Retail
M,29,Single,Retail
M,29,Single,Retail
M,29,Single,Retail
M,24,Single,Other
M,24,Single,Other
M,24,Single,Other
M,31,Married,Sales
M,31,Married,Sales
M,31,Married,Sales
M,26,Single,Other
M,26,Single,Other
M,26,Single,Other
M,26,Single,Other
F,30,Married,Executive
F,30,Married,Executive
F,30,Married,Executive
F,30,Married,Executive
F,45,Married,Hospitality
F,45,Married,Hospitality
F,45,Married,Hospitality
F,45,Married,Hospitality
F,45,Married,Hospitality
M,25,Single,Trades
M,25,Single,Trades
M,25,Single,Trades
F,18,Single,Retail
F,18,Single,Retail
F,38,Married,Other
F,38,Married,Other
F,38,Married,Other
F,38,Married,Other
F,38,Married,Other
F,38,Married,Other
M,43,Married,Professional
M,43,Married,Professional
M,43,Married,Professional
M,27,Single,Professional
M,27,Single,Professional
M,27,Single,Professional
F,59,Married,Other
F,59,Married,Other
F,59,Married,Other
F,59,Married,Other
F,59,Married,Other
M,34,Single,Student
M,34,Single,Student
M,34,Single,Student
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
M,20,Single,Trades
F,36,Married,Other
F,36,Married,Other
F,36,Married,Other
F,46,Married,Hospitality
F,46,Married,Hospitality
F,31,Married,Professional
F,31,Married,Professional
F,37,Single,Professional
F,37,Single,Professional
F,46,Married,Sales
F,46,Married,Sales
M,32,Single,Other
M,32,Single,Other
M,25,Single,Other
M,25,Single,Other
M,32,Married,Trades
M,32,Married,Trades
M,32,Married,Trades
F,21,Single,Student
F,21,Single,Student
F,47,Married,Other
F,47,Married,Other
F,47,Married,Other
F,25,Single,Student
F,25,Single,Student
F,35,Married,Professional
F,35,Married,Professional
M,34,Single,Other
M,34,Single,Other
M,34,Single,Other
M,24,Single,Sales
M,24,Single,Sales
M,24,Single,Sales
F,37,Married,Professional
F,37,Married,Professional
M,29,Married,Executive
M,29,Married,Executive
M,29,Married,Executive
M,49,Married,Other
M,49,Married,Other
M,49,Married,Other
F,19,Single,Student
F,19,Single,Student
M,29,Single,Professional
M,29,Single,Professional
M,29,Single,Professional
F,33,Married,Executive
F,33,Married,Executive
M,23,Single,Retail
M,23,Single,Retail
M,23,Single,Retail
M,23,Single,Retail
M,23,Single,Other
M,23,Single,Other
M,23,Single,Other
M,23,Single,Other
M,29,Single,Other
M,29,Single,Other
M,29,Single,Other
F,36,Married,Other
F,36,Married,Other
F,36,Married,Other
F,36,Married,Other
M,34,Married,Sales
M,34,Married,Sales
F,31,Married,Other
F,31,Married,Other
F,31,Married,Other
F,31,Married,Other
F,31,Married,Other
F,31,Married,Other
F,43,Married,Other
F,43,Married,Other
F,43,Married,Other
M,31,Married,Professional
M,31,Married,Professional
M,31,Married,Professional
F,55,Married,Other
F,55,Married,Other
F,55,Married,Other
F,55,Married,Other
F,23,Single,Student
F,23,Single,Student
M,33,Married,Sales
M,33,Married,Sales
M,33,Married,Sales
M,43,Married,Professional
M,43,Married,Professional
M,43,Married,Professional
F,44,Married,Other
F,44,Married,Other
F,44,Married,Other
M,55,Married,Other
M,55,Married,Other
M,26,Single,Retail
M,26,Single,Retail
M,26,Single,Retail
M,38,Married,Trades
M,27,Single,Other
M,27,Single,Other
M,27,Single,Other
M,27,Single,Other
M,27,Single,Other
M,27,Single,Other
M,27,Single,Other
F,21,Single,Professional
F,21,Single,Professional
F,39,Married,Retail
F,39,Married,Retail
F,39,Married,Retail
F,39,Married,Retail
F,31,Married,Other
F,31,Married,Other
M,24,Single,Student
M,24,Single,Student
M,24,Single,Student
M,21,Single,Professional
M,21,Single,Professional
M,21,Single,Professional
M,21,Single,Professional
F,39,Married,Other
F,39,Married,Other
F,39,Married,Other
F,19,Single,Professional
F,19,Single,Professional
F,19,Single,Professional
F,29,Single,Retail
F,29,Single,Retail
F,31,Married,Hospitality
